"Cavolo rosso, crudo",30
"Cavolo rosso, stufato",26
"Ceci, cotti (senza grassi)",127
"Ceci, secchi",327
"Cedro candito",289
"Cervelat",249
"Cervo (media), crudo",112
"Cervo, entrecìte, crudo",111
"Cetriolini, sott'aceto",14
"Cetriolo, crudo",14
"Champignon, crudo",25
"Champignon, stufato (senza grassi)",29
"Cheeseburger",281
"Chiacchiere di carnevale",553
"Chili con carne, preparato",115
"Chips di banana secca",370
"Chips di mais",509
"Ciambellone al cioccolato",380
"Ciambellone della nonna",462
"Cicoria belga, al vapore",13
"Cicoria bianca di Milano, cruda",16
"Cicoria rossa, cruda",19
"Ciliegie, cotte, sgocciolate (senza zuccheri)",70
"Ciliegie, crude",74
"Cinghiale (media), crudo",108
"Cioccolato al latte",537
"Cioccolato al latte con nocciole",570
"Cioccolato al latte con nougat/torrone mandorle e miele",536
"Cioccolato al latte con uva secca, nocciole e mandorle",513
"Cioccolato al latte ripieno di alcool",488
"Cioccolato al latte ripieno di crema (Gianduja, Nougat)",573
"Cioccolato al latte ripieno di crema alle nocciole",558
"Cioccolato in polvere",398
"Cioccolato, bianco",567
"Cioccolato, nero (amaro)",537
"Cipolla, arrostita (senza grassi)",92
"Cipolla, cruda",39
"Cipolla, stufata (senza grassi)",43
"Cipolline, sott'aceto",28
"Cocktail di gamberi, preparato",168
"Composta di rabarbaro, con zucchero",81
"Concentrato di pomodoro",77
"Coniglio (media), crudo",150
"Coniglio (media), cotto (senza grassi)",205
"Coniglio, filetto, crudo",111
"Coppa",319
"Cordon bleu di maiale, preparato",241
"Cordon bleu di vitello, preparato",234
"Coregone lavarello, crudo",101
"Cornetti (media)",400
"Cornetto al burro, bianco",432
"Cornetto al burro, integrale",368
"Cornetto al prosciutto",332
"Cornetto alle nocciole, pasta lievitata",318
"Cornetto alle nocciole, pasta sfoglia",419
"Cornetto di Sils (con sale iodato)",423
"Cornflakes",363
"Costoletta (media: vitello, maiale, agnello), cruda",177
"Costoletta (media), in padella (senza grassi)",223
"Cotechino",450
"Cotto",93
"Cozze, crude",85
"Cracker, salatini, salatini da aperitivo",449
"Crauti, sottaceto",19
"Crema alla vaniglia, fatta in casa, cotta",109
"Crema da spalmare alle nocciole e cioccolato",548
"Crema, al cioccolato",122
"Cràpes ai funghi prataiolo, preparati",139
"Cràpes al formaggio Camembert, preparati",247
"Cràpes al lardo, preparati",253
"Cràpes al naturale, preparati",234
"Cràpes al prosciutto, preparati",193
"Cràpes al zucchero con cannella, preparati",254
"Cràpes alla Nutella, preparati",377
"Cràpes alla verdura, preparati",165
"Crescione, crudo",17
"Creste di gallo all'anice",366
"Croque Monsieur",294
"Crostaceo (media), crudo",75
"Crostone al formaggio, preparato",272
"Crusca d'avena",371
"Crusca di frumento",264
